ship,stw,wind_speed,wind_direction,power_without_wing,power_with_wing,id
FR35-2-Handymax-v2-Opt,12,0.5,45,3106.04,3106.04,430289
FR35-2-Handymax-v2-Opt,12,0.5,50,3105.63,3105.63,430290
FR35-2-Handymax-v2-Opt,12,0.5,55,3105.17,3105.17,430291
FR35-2-Handymax-v2-Opt,12,0.5,60,3104.65,3104.65,430292
FR35-2-Handymax-v2-Opt,12,0.5,65,3104.07,3104.07,430293
FR35-2-Handymax-v2-Opt,12,0.5,70,3103.45,3103.45,430294
FR35-2-Handymax-v2-Opt,12,0.5,75,3102.8,3102.8,430295
FR35-2-Handymax-v2-Opt,12,0.5,80,3102.1,3102.1,430296
FR35-2-Handymax-v2-Opt,12,0.5,85,3101.38,3101.38,430297
FR35-2-Handymax-v2-Opt,12,0.5,90,3100.64,3100.64,430298
FR35-2-Handymax-v2-Opt,12,0.5,95,3099.88,3099.88,430299
FR35-2-Handymax-v2-Opt,12,0.5,100,3099.11,3099.11,430300
FR35-2-Handymax-v2-Opt,12,0.5,105,3098.33,3098.33,430301
FR35-2-Handymax-v2-Opt,12,0.5,110,3097.55,3097.55,430302
FR35-2-Handymax-v2-Opt,12,0.5,115,3096.79,3096.79,430303
FR35-2-Handymax-v2-Opt,12,0.5,120,3096.03,3096.03,430304
FR35-2-Handymax-v2-Opt,12,0.5,125,3095.29,3095.29,430305
FR35-2-Handymax-v2-Opt,12,0.5,130,3094.57,3094.57,430306
FR35-2-Handymax-v2-Opt,12,0.5,135,3093.88,3093.88,430307
FR35-2-Handymax-v2-Opt,12,0.5,140,3093.22,3093.22,430308
FR35-2-Handymax-v2-Opt,12,0.5,145,3092.59,3092.59,430309
FR35-2-Handymax-v2-Opt,12,0.5,150,3092,3092,430310
FR35-2-Handymax-v2-Opt,12,0.5,155,3091.46,3091.46,430311
FR35-2-Handymax-v2-Opt,12,0.5,160,3090.96,3090.96,430312
FR35-2-Handymax-v2-Opt,12,0.5,165,3090.5,3090.5,430313
FR35-2-Handymax-v2-Opt,12,0.5,170,3090.1,3090.1,430314
FR35-2-Handymax-v2-Opt,12,0.5,175,3089.74,3089.74,430315
FR35-2-Handymax-v2-Opt,12,0.5,180,3089.44,3089.44,430316
FR35-2-Handymax-v2-Opt,12,1,0,3115.48,3115.48,430317
FR35-2-Handymax-v2-Opt,12,1,5,3116,3116,430318
FR35-2-Handymax-v2-Opt,12,1,10,3116.37,3116.37,430319
FR35-2-Handymax-v2-Opt,12,1,15,3116.56,3116.56,430320
FR35-2-Handymax-v2-Opt,12,1,20,3116.58,3116.58,430321
FR35-2-Handymax-v2-Opt,12,1,25,3116.43,3116.43,430322
FR35-2-Handymax-v2-Opt,12,1,30,3116.12,3116.12,430323
FR35-2-Handymax-v2-Opt,12,1,35,3115.65,3115.65,430324
FR35-2-Handymax-v2-Opt,12,1,40,3115.03,3115.03,430325
FR35-2-Handymax-v2-Opt,12,1,45,3114.27,3114.27,430326
FR35-2-Handymax-v2-Opt,12,1,50,3113.37,3113.37,430327
FR35-2-Handymax-v2-Opt,12,1,55,3112.36,3112.36,430328
FR35-2-Handymax-v2-Opt,12,1,60,3111.23,3111.23,430329
FR35-2-Handymax-v2-Opt,12,1,65,3110,3110,430330
FR35-2-Handymax-v2-Opt,12,1,70,3108.69,3108.69,430331
FR35-2-Handymax-v2-Opt,12,1,75,3107.31,3107.31,430332
FR35-2-Handymax-v2-Opt,12,1,80,3105.87,3105.87,430333
FR35-2-Handymax-v2-Opt,12,1,85,3104.38,3104.38,430334
FR35-2-Handymax-v2-Opt,12,1,90,3102.86,3102.86,430335
FR35-2-Handymax-v2-Opt,12,1,95,3101.32,3101.32,430336
FR35-2-Handymax-v2-Opt,12,1,100,3099.78,3099.78,430337
FR35-2-Handymax-v2-Opt,12,1,105,3098.24,3098.24,430338
FR35-2-Handymax-v2-Opt,12,1,110,3096.72,3096.72,430339
FR35-2-Handymax-v2-Opt,12,1,115,3095.23,3095.23,430340
FR35-2-Handymax-v2-Opt,12,1,120,3093.77,3093.77,430341
FR35-2-Handymax-v2-Opt,12,1,125,3092.36,3092.36,430342
